Human_Readable_Topic,update_date,Categories
Sentence Embeddings and Semantic Meaning Analysis,2024-05-30,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-05-30,Evaluation and Benchmarks
Manifold Learning and Dimensionality Reduction,2024-06-06,Core Models and Architectures
Adversarial Attacks on Graph Neural Networks,2023-04-06,Societal Impacts and Ethics
Adversarial Attacks on Graph Neural Networks,2023-04-06,Evaluation and Benchmarks
Personalized Recommendation Systems,2023-03-14,Applications and Use Cases
Modal Logics and Formalization,2023-01-16,Core Models and Architectures
Modal Logics and Formalization,2023-01-16,Societal Impacts and Ethics
Algebraic Geometry and Representation Theory,2023-02-14,Core Models and Architectures
Video Understanding with Large Multimodal Models,2023-10-10,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2023-01-02,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2024-10-15,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2024-10-15,Optimization Techniques
Quantum Machine Learning and Neural Networks,2023-04-05,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-04-05,Infrastructure and Tools
Riemannian Manifolds and Conformal Metrics,2023-07-31,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-09-25,Core Models and Architectures
Set Theory and Algebraic Structures,2023-06-22,Core Models and Architectures
Set Theory and Algebraic Structures,2023-06-22,Core Models and Architectures
Planar Graph Algorithms and Properties,2022-12-21,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2023-04-03,Core Models and Architectures
Large Language Models in Healthcare Applications,2024-03-14,Applications and Use Cases
Knowledge Graph Completion Methods,2024-04-05,Core Models and Architectures
Knowledge Graph Completion Methods,2024-04-05,Learning Paradigms
Planar Graph Algorithms and Properties,2024-07-12,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2023-04-12,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-03-19,Core Models and Architectures
Compositional Image Retrieval (CIR),2024-06-27,Applications and Use Cases
Algebraic Geometry and Representation Theory,2023-04-17,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-02-13,Core Models and Architectures
Set Theory and Algebraic Structures,2024-09-12,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2023-01-02,Core Models and Architectures
Deep Learning Neural Networks,2023-02-03,Core Models and Architectures
Set Theory and Algebraic Structures,2023-03-27,Core Models and Architectures
Fractional Sobolev Embeddings,2023-03-30,Core Models and Architectures
Named Entity Recognition in Multilingual English,2023-10-04,Applications and Use Cases
Algebraic Geometry and Representation Theory,2024-01-15,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2023-09-21,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2023-09-21,Optimization Techniques
Self-Supervised Learning and Deep Metric Learning,2023-07-18,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-07-18,Learning Paradigms
Manifold Learning and Dimensionality Reduction,2024-04-25,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-02-22,Core Models and Architectures
Personalized Recommendation Systems,2024-04-03,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2024-06-13,Core Models and Architectures
Set Theory and Algebraic Structures,2023-06-22,Core Models and Architectures
Koopman Operator for Nonlinear System Control,2023-08-10,Core Models and Architectures
Machine Translation with Large Language Models,2024-09-05,Applications and Use Cases
Algebraic Geometry and Representation Theory,2023-08-29,Core Models and Architectures
Planar Graph Algorithms and Properties,2023-06-22,Core Models and Architectures
Set Theory and Algebraic Structures,2023-06-22,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-06-05,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-06-05,Evaluation and Benchmarks
Algebraic Geometry and Representation Theory,2023-12-12,Core Models and Architectures
Anomaly Detection with Multimodal Models,2022-12-05,Applications and Use Cases
Anomaly Detection with Multimodal Models,2022-12-05,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2022-12-05,Core Models and Architectures
Retrieval-Augmented Generation for Large Language Models,2022-12-05,Applications and Use Cases
Algebraic Geometry and Representation Theory,2023-07-11,Core Models and Architectures
Planar Graph Algorithms and Properties,2024-10-18,Core Models and Architectures
Medical Image Segmentation with Transformers and CNNs,2022-12-06,Core Models and Architectures
Medical Image Segmentation with Transformers and CNNs,2022-12-06,Applications and Use Cases
Human Mobility and Traffic Prediction,2023-09-13,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2022-12-06,Applications and Use Cases
Deep Neural Network Watermarking Techniques,2023-04-04,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2023-04-04,Infrastructure and Tools
Improving Transformers for Arithmetic Tasks,2023-03-17,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2023-03-17,Learning Paradigms
Time Series Forecasting with Deep Learning Models,2022-12-07,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2022-12-07,Applications and Use Cases
Fractional Sobolev Embeddings,2022-12-08,Core Models and Architectures
Speech-to-Text and Audio Processing,2022-12-08,Applications and Use Cases
Graph Contrastive Learning Methods,2024-08-07,Core Models and Architectures
Graph Contrastive Learning Methods,2024-08-07,Learning Paradigms
Large Language Models in Healthcare Applications,2022-12-09,Applications and Use Cases
Personalized Recommendation Systems,2022-12-12,Applications and Use Cases
Quantum Machine Learning and Neural Networks,2023-02-28,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-02-28,Infrastructure and Tools
Vision Transformers with Convolutional Layers,2022-12-23,Core Models and Architectures
Quantization Techniques for Large Language Models,2024-08-07,Optimization Techniques
Mamba Model for Efficient Information Retrieval,2022-12-13,Core Models and Architectures
Mamba Model for Efficient Information Retrieval,2022-12-13,Applications and Use Cases
Partial Differential Equation Solvers,2022-12-13,Applications and Use Cases
Large Language Models in Healthcare Applications,2022-12-13,Applications and Use Cases
Audio Captioning and Representation Learning,2023-07-12,Applications and Use Cases
Audio Captioning and Representation Learning,2023-07-12,Core Models and Architectures
Hypergraph and Graph Neural Networks,2022-12-14,Core Models and Architectures
Hateful Meme Detection Using Multimodal Analysis,2023-07-10,Applications and Use Cases
Hateful Meme Detection Using Multimodal Analysis,2023-07-10,Societal Impacts and Ethics
Planar Graph Algorithms and Properties,2023-05-09,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2022-12-15,Core Models and Architectures
Set Theory and Algebraic Structures,2022-12-16,Core Models and Architectures
Set Theory and Algebraic Structures,2023-06-29,Core Models and Architectures
Personalized Recommendation Systems,2022-12-16,Applications and Use Cases
Grammatical Error Correction with Large Language Models,2022-12-19,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2022-12-19,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2022-12-19,Evaluation and Benchmarks
Speech-to-Text and Audio Processing,2022-12-19,Applications and Use Cases
Financial NLP and Large Language Models,2022-12-20,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2022-12-20,Applications and Use Cases
Federated Recommendation Systems with Personalization and Privacy,2022-12-20,Applications and Use Cases
Federated Recommendation Systems with Personalization and Privacy,2022-12-20,Societal Impacts and Ethics
Multiple Instance Learning for Histopathology Image Analysis,2023-08-22,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2023-05-30,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-05-30,Evaluation and Benchmarks
Speech-to-Text and Audio Processing,2023-07-10,Applications and Use Cases
Reinforcement Learning from Human Feedback,2022-12-20,Learning Paradigms
Modal Logics and Formalization,2024-04-30,Core Models and Architectures
Modal Logics and Formalization,2024-04-30,Societal Impacts and Ethics
Sentence Embeddings and Semantic Meaning Analysis,2023-05-31,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-05-31,Evaluation and Benchmarks
Face Forgery Detection and Recognition,2023-04-18,Applications and Use Cases
Face Forgery Detection and Recognition,2023-04-18,Societal Impacts and Ethics
Speech-to-Text and Audio Processing,2023-05-24,Applications and Use Cases
Text Classification with Limited Annotations,2023-05-22,Learning Paradigms
Text Classification with Limited Annotations,2023-05-22,Optimization Techniques
Multilingual Language Model Transfer,2023-07-06,Core Models and Architectures
Multilingual Language Model Transfer,2023-07-06,Learning Paradigms
Planar Graph Algorithms and Properties,2024-03-22,Core Models and Architectures
Scene Text Recognition with Vision-Language Models,2024-09-02,Applications and Use Cases
Quantum Machine Learning and Neural Networks,2023-02-08,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-02-08,Infrastructure and Tools
Planar Graph Algorithms and Properties,2024-03-22,Core Models and Architectures
Fractional Sobolev Embeddings,2023-01-04,Core Models and Architectures
Machine Translation with Large Language Models,2022-12-27,Applications and Use Cases
Quantum Machine Learning and Neural Networks,2023-12-06,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-12-06,Infrastructure and Tools
Fractional Sobolev Embeddings,2023-01-31,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-01-31,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-01-31,Applications and Use Cases
Compositional Image Retrieval (CIR),2023-02-09,Applications and Use Cases
Improving Transformers for Arithmetic Tasks,2023-01-31,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2023-01-31,Learning Paradigms
Manifold Learning and Dimensionality Reduction,2023-02-01,Core Models and Architectures
Hypergraph and Graph Neural Networks,2023-02-02,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-02-02,Core Models and Architectures
Entity Alignment in Knowledge Graphs,2023-02-09,Core Models and Architectures
Entity Alignment in Knowledge Graphs,2023-02-09,Applications and Use Cases
Molecular and Protein Representation Learning,2023-02-07,Core Models and Architectures
Molecular and Protein Representation Learning,2023-02-07,Applications and Use Cases
Personalized Recommendation Systems,2023-06-28,Applications and Use Cases
Causal Analysis with Large Language Models,2023-07-28,Core Models and Architectures
Causal Analysis with Large Language Models,2023-07-28,Societal Impacts and Ethics
Set Theory and Algebraic Structures,2024-03-13,Core Models and Architectures
Knowledge Graph Completion Methods,2023-02-06,Core Models and Architectures
Knowledge Graph Completion Methods,2023-02-06,Learning Paradigms
Federated Learning for Large Language Models,2023-02-28,Learning Paradigms
Federated Learning for Large Language Models,2023-02-28,Optimization Techniques
Personalized Recommendation Systems,2023-02-07,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2023-02-07,Applications and Use Cases
Gender Bias in Large Language Models,2023-02-07,Societal Impacts and Ethics
Visual Classification with Descriptors and Embeddings,2023-06-01,Core Models and Architectures
Visual Classification with Descriptors and Embeddings,2023-06-01,Applications and Use Cases
Knowledge Graph Completion Methods,2023-10-24,Core Models and Architectures
Knowledge Graph Completion Methods,2023-10-24,Learning Paradigms
Speech-to-Text and Audio Processing,2023-02-07,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-03-21,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2023-02-07,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-08-08,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2023-04-12,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2023-05-24,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-02-09,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-02-09,Applications and Use Cases
Deep Neural Network Watermarking Techniques,2023-02-09,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2023-02-09,Infrastructure and Tools
Time Series Forecasting with Deep Learning Models,2023-11-02,Applications and Use Cases
Music Generation and Retrieval Systems,2023-03-07,Applications and Use Cases
Facial Expression Recognition Methods,2023-02-09,Applications and Use Cases
Network Embeddings and Community Detection,2023-02-10,Core Models and Architectures
Network Embeddings and Community Detection,2023-02-10,Applications and Use Cases
Massive MIMO Channel Prediction and Reconstruction,2024-04-02,Core Models and Architectures
Dialogue Systems and Conversational AI,2023-02-10,Applications and Use Cases
Personalized Recommendation Systems,2023-06-07,Applications and Use Cases
Knowledge Graph Completion Methods,2023-02-13,Core Models and Architectures
Knowledge Graph Completion Methods,2023-02-13,Learning Paradigms
Anomaly Detection with Multimodal Models,2023-02-13,Applications and Use Cases
Anomaly Detection with Multimodal Models,2023-02-13,Core Models and Architectures
Sketch Representation Learning and Retrieval,2023-02-14,Core Models and Architectures
Sketch Representation Learning and Retrieval,2023-02-14,Applications and Use Cases
Metric Embeddings and Approximation Algorithms,2023-02-14,Core Models and Architectures
Metric Embeddings and Approximation Algorithms,2023-02-14,Optimization Techniques
Handwritten Text Recognition and OCR,2023-02-14,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2023-02-14,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-02-15,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-02-15,Evaluation and Benchmarks
Network Embeddings and Community Detection,2023-02-15,Core Models and Architectures
Network Embeddings and Community Detection,2023-02-15,Applications and Use Cases
Personalized Recommendation Systems,2023-03-20,Applications and Use Cases
Relational Reasoning in Neural Networks,2024-05-17,Core Models and Architectures
Diffusion Models for Text-Guided Image Generation and Editing,2023-03-22,Applications and Use Cases
Syntactic Parsing and Linguistic Analysis in NLP,2023-02-20,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-02-20,Applications and Use Cases
Molecular and Protein Representation Learning,2023-02-20,Core Models and Architectures
Molecular and Protein Representation Learning,2023-02-20,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-02-20,Applications and Use Cases
Entity Alignment in Knowledge Graphs,2023-03-14,Core Models and Architectures
Entity Alignment in Knowledge Graphs,2023-03-14,Applications and Use Cases
Fractional Sobolev Embeddings,2023-02-21,Core Models and Architectures
Fractional Sobolev Embeddings,2023-02-21,Core Models and Architectures
Advancements in Topic Modeling and Extraction Techniques,2023-07-19,Core Models and Architectures
Advancements in Topic Modeling and Extraction Techniques,2023-07-19,Applications and Use Cases
Set Theory and Algebraic Structures,2024-05-21,Core Models and Architectures
Federated Learning for Large Language Models,2023-06-05,Learning Paradigms
Federated Learning for Large Language Models,2023-06-05,Optimization Techniques
Algebraic Geometry and Representation Theory,2023-02-21,Core Models and Architectures
Log Parsing and Analysis Techniques,2023-06-01,Applications and Use Cases
Personalized Recommendation Systems,2023-07-19,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-03-15,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-02-22,Applications and Use Cases
Fractional Sobolev Embeddings,2023-04-14,Core Models and Architectures
Personalized Recommendation Systems,2023-02-22,Applications and Use Cases
Molecular and Protein Representation Learning,2023-02-23,Core Models and Architectures
Molecular and Protein Representation Learning,2023-02-23,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-02-23,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-03-14,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-02-27,Applications and Use Cases
Planar Graph Algorithms and Properties,2024-02-29,Core Models and Architectures
Intelligent Agents and Multi-Agent Systems in AI,2023-02-27,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2023-02-27,Societal Impacts and Ethics
Video Understanding with Large Multimodal Models,2023-02-27,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-02-27,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-02-27,Applications and Use Cases
Planar Graph Algorithms and Properties,2023-02-28,Core Models and Architectures
Anomaly Detection with Multimodal Models,2023-02-28,Applications and Use Cases
Anomaly Detection with Multimodal Models,2023-02-28,Core Models and Architectures
Speech-to-Text and Audio Processing,2024-05-29,Applications and Use Cases
Open-Vocabulary Image Segmentation and Detection,2023-02-28,Applications and Use Cases
Molecular and Protein Representation Learning,2023-06-23,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-23,Applications and Use Cases
Personality Traits in Language Models,2023-02-28,Societal Impacts and Ethics
Personality Traits in Language Models,2023-02-28,Core Models and Architectures
Open-Vocabulary Image Segmentation and Detection,2023-02-28,Applications and Use Cases
Molecular and Protein Representation Learning,2023-03-01,Core Models and Architectures
Molecular and Protein Representation Learning,2023-03-01,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-03-01,Applications and Use Cases
Deep Learning Models for Tabular Data,2023-03-01,Core Models and Architectures
Face Forgery Detection and Recognition,2023-07-27,Applications and Use Cases
Face Forgery Detection and Recognition,2023-07-27,Societal Impacts and Ethics
Video Understanding with Large Multimodal Models,2023-03-27,Applications and Use Cases
Steganography Techniques and Methods,2023-03-02,Societal Impacts and Ethics
Steganography Techniques and Methods,2023-03-02,Core Models and Architectures
Personalized Recommendation Systems,2023-03-02,Applications and Use Cases
Fractional Sobolev Embeddings,2023-03-15,Core Models and Architectures
Adversarial Attacks on Language Models,2023-03-03,Societal Impacts and Ethics
Adversarial Attacks on Language Models,2023-03-03,Evaluation and Benchmarks
Self-Supervised Learning and Deep Metric Learning,2023-03-03,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-03-03,Learning Paradigms
Fractional Sobolev Embeddings,2023-03-03,Core Models and Architectures
Planar Graph Algorithms and Properties,2023-03-03,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2023-10-12,Core Models and Architectures
Video Object Segmentation and Tracking,2023-04-04,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2024-01-17,Core Models and Architectures
Multimodal Image Captioning Models,2023-03-07,Applications and Use Cases
Multimodal Image Captioning Models,2023-03-07,Core Models and Architectures
Entity Matching with Large Language Models,2023-06-26,Applications and Use Cases
Adversarial Attacks on Vision Language Models,2023-07-18,Societal Impacts and Ethics
Adversarial Attacks on Vision Language Models,2023-07-18,Evaluation and Benchmarks
Quantum Machine Learning and Neural Networks,2023-03-08,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-03-08,Infrastructure and Tools
Speech-to-Text and Audio Processing,2023-03-08,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-08-01,Applications and Use Cases
Manifold Learning and Dimensionality Reduction,2023-03-10,Core Models and Architectures
3D Point Cloud Processing and Learning,2023-03-13,Core Models and Architectures
Graph Neural Networks for Privacy Preservation,2024-08-28,Societal Impacts and Ethics
Graph Neural Networks for Privacy Preservation,2024-08-28,Core Models and Architectures
Fractional Sobolev Embeddings,2023-03-13,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2023-06-13,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-06-13,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-06-13,Evaluation and Benchmarks
Continual Learning for Image Segmentation,2024-08-06,Learning Paradigms
Speech-to-Text and Audio Processing,2023-03-15,Applications and Use Cases
Self-Supervised Learning and Deep Metric Learning,2023-03-15,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-03-15,Learning Paradigms
Fractional Sobolev Embeddings,2023-03-15,Core Models and Architectures
Human Mobility and Traffic Prediction,2023-03-15,Applications and Use Cases
Planar Graph Algorithms and Properties,2023-03-16,Core Models and Architectures
Deep Neural Network Watermarking Techniques,2023-11-02,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2023-11-02,Infrastructure and Tools
Large Language Models in Healthcare Applications,2023-03-23,Applications and Use Cases
Self-Supervised Learning and Deep Metric Learning,2023-01-10,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-01-10,Learning Paradigms
Human Mobility and Traffic Prediction,2023-08-14,Applications and Use Cases
Deep Neural Network Watermarking Techniques,2023-04-03,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2023-04-03,Infrastructure and Tools
Graph Learning with Large Language Models,2023-09-27,Core Models and Architectures
Graph Learning with Large Language Models,2023-09-27,Learning Paradigms
Personalized Recommendation Systems,2023-05-16,Applications and Use Cases
Knowledge Graph Completion Methods,2023-07-13,Core Models and Architectures
Knowledge Graph Completion Methods,2023-07-13,Learning Paradigms
Manifold Learning and Dimensionality Reduction,2024-03-29,Core Models and Architectures
Code Intelligence and Large Language Models,2024-03-27,Applications and Use Cases
Code Intelligence and Large Language Models,2024-03-27,Infrastructure and Tools
Continual Learning for Image Segmentation,2023-07-03,Learning Paradigms
Riemannian Manifolds and Conformal Metrics,2023-12-27,Core Models and Architectures
Modular Symmetry in Quark Flavor Models,2023-04-19,Core Models and Architectures
Planar Graph Algorithms and Properties,2024-07-25,Core Models and Architectures
Network Embeddings and Community Detection,2023-01-30,Core Models and Architectures
Network Embeddings and Community Detection,2023-01-30,Applications and Use Cases
Fractional Sobolev Embeddings,2023-10-24,Core Models and Architectures
Explainability in Large Language Models,2022-12-21,Societal Impacts and Ethics
Explainability in Large Language Models,2022-12-21,Core Models and Architectures
Fractional Sobolev Embeddings,2023-04-19,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2024-05-13,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2024-05-13,Learning Paradigms
Sentence Embeddings and Semantic Meaning Analysis,2023-11-10,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-11-10,Evaluation and Benchmarks
Time Series Forecasting with Deep Learning Models,2023-11-10,Applications and Use Cases
Adversarial Attacks on Graph Neural Networks,2022-12-01,Societal Impacts and Ethics
Adversarial Attacks on Graph Neural Networks,2022-12-01,Evaluation and Benchmarks
Koopman Operator for Nonlinear System Control,2023-03-23,Core Models and Architectures
Quantum Entanglement and Generalised Probabilistic Theories,2023-06-02,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-09-08,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2023-09-08,Learning Paradigms
Quantization Techniques for Large Language Models,2023-12-19,Optimization Techniques
Quantum Machine Learning and Neural Networks,2023-01-10,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-01-10,Infrastructure and Tools
Molecular and Protein Representation Learning,2023-01-25,Core Models and Architectures
Molecular and Protein Representation Learning,2023-01-25,Applications and Use Cases
Planar Graph Algorithms and Properties,2024-11-20,Core Models and Architectures
Speech-to-Text and Audio Processing,2023-02-01,Applications and Use Cases
Personalized Recommendation Systems,2023-01-09,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-06-27,Applications and Use Cases
3D Point Cloud Processing and Learning,2023-02-28,Core Models and Architectures
Riemannian Manifolds and Conformal Metrics,2024-08-27,Core Models and Architectures
Gesture Generation from Speech and Text,2023-05-05,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-07-15,Applications and Use Cases
Knowledge Graph Completion Methods,2023-01-02,Core Models and Architectures
Knowledge Graph Completion Methods,2023-01-02,Learning Paradigms
Manifold Learning and Dimensionality Reduction,2023-05-31,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-05-23,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-05-23,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-09-28,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2023-10-18,Applications and Use Cases
Relational Reasoning in Neural Networks,2023-07-04,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-03-21,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-03-21,Evaluation and Benchmarks
Algebraic Geometry and Representation Theory,2024-03-06,Core Models and Architectures
Human Activity Recognition with Wearable Sensors,2023-03-10,Applications and Use Cases
Fractional Sobolev Embeddings,2024-05-08,Core Models and Architectures
Personalized Recommendation Systems,2022-12-29,Applications and Use Cases
Riemannian Manifolds and Conformal Metrics,2023-03-24,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-09-13,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-09-13,Evaluation and Benchmarks
Log Parsing and Analysis Techniques,2023-07-25,Applications and Use Cases
Vision Transformers with Convolutional Layers,2023-05-01,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-10-02,Core Models and Architectures
Personalized Recommendation Systems,2023-05-16,Applications and Use Cases
Group Theory and Embeddings,2024-07-23,Core Models and Architectures
Detecting Vulnerabilities in Code with Large Language Models,2023-02-06,Applications and Use Cases
3D Human Pose Estimation,2023-04-18,Applications and Use Cases
Koopman Operator for Nonlinear System Control,2024-09-21,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-09-04,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2024-09-04,Evaluation and Benchmarks
Improving Transformers for Arithmetic Tasks,2023-06-22,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2023-06-22,Learning Paradigms
Sentiment Analysis of COVID-19 Tweets,2023-09-19,Applications and Use Cases
Fractional Sobolev Embeddings,2022-12-08,Core Models and Architectures
Personalized Recommendation Systems,2024-03-27,Applications and Use Cases
Planar Graph Algorithms and Properties,2023-09-20,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2023-04-28,Core Models and Architectures
Graph Learning with Large Language Models,2023-01-26,Core Models and Architectures
Graph Learning with Large Language Models,2023-01-26,Learning Paradigms
Set Theory and Algebraic Structures,2024-05-07,Core Models and Architectures
Manifold Learning and Dimensionality Reduction,2023-10-16,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-03-01,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-19,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-19,Applications and Use Cases
Aspect-Based Sentiment Analysis,2023-03-15,Applications and Use Cases
Personalized Recommendation Systems,2024-04-30,Applications and Use Cases
Set Theory and Algebraic Structures,2023-12-13,Core Models and Architectures
Stance Detection in Natural Language Processing,2022-12-16,Applications and Use Cases
Hypergraph and Graph Neural Networks,2023-08-17,Core Models and Architectures
Large Language Models in Healthcare Applications,2022-12-22,Applications and Use Cases
Molecular and Protein Representation Learning,2023-06-07,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-07,Applications and Use Cases
