Week_Start,Domain,Weekly_Count
2024-04-21,Evaluation and Benchmarks,469
2024-04-28,Core Models and Architectures,374
2024-04-28,Learning Paradigms,285
2024-04-28,Optimization Techniques,428
2024-04-28,Applications and Use Cases,390
2024-04-28,Societal Impacts and Ethics,223
2024-04-28,Infrastructure and Tools,153
2024-04-28,Evaluation and Benchmarks,477
2024-05-05,Core Models and Architectures,253
2024-05-05,Learning Paradigms,194
2024-05-05,Optimization Techniques,93
2024-05-05,Applications and Use Cases,116
2024-05-05,Societal Impacts and Ethics,166
2024-05-05,Infrastructure and Tools,108
2024-05-05,Evaluation and Benchmarks,293
2024-05-12,Core Models and Architectures,191
2024-05-12,Learning Paradigms,219
2024-05-12,Optimization Techniques,334
2024-05-12,Applications and Use Cases,249
2024-05-12,Societal Impacts and Ethics,73
2024-05-12,Infrastructure and Tools,206
2024-05-12,Evaluation and Benchmarks,96
2024-05-19,Core Models and Architectures,321
2024-05-19,Learning Paradigms,192
2024-05-19,Optimization Techniques,290
2024-05-19,Applications and Use Cases,359
2024-05-19,Societal Impacts and Ethics,130
2024-05-19,Infrastructure and Tools,419
2024-05-19,Evaluation and Benchmarks,488
2024-05-26,Core Models and Architectures,56
2024-05-26,Learning Paradigms,362
2024-05-26,Optimization Techniques,130
2024-05-26,Applications and Use Cases,436
2024-05-26,Societal Impacts and Ethics,484
2024-05-26,Infrastructure and Tools,220
2024-05-26,Evaluation and Benchmarks,155
2024-06-02,Core Models and Architectures,203
2024-06-02,Learning Paradigms,476
2024-06-02,Optimization Techniques,176
2024-06-02,Applications and Use Cases,174
2024-06-02,Societal Impacts and Ethics,121
2024-06-02,Infrastructure and Tools,490
2024-06-02,Evaluation and Benchmarks,202
2024-06-09,Core Models and Architectures,215
2024-06-09,Learning Paradigms,167
2024-06-09,Optimization Techniques,487
2024-06-09,Applications and Use Cases,403
2024-06-09,Societal Impacts and Ethics,62
2024-06-09,Infrastructure and Tools,147
2024-06-09,Evaluation and Benchmarks,62
2024-06-16,Core Models and Architectures,345
2024-06-16,Learning Paradigms,191
2024-06-16,Optimization Techniques,282
2024-06-16,Applications and Use Cases,312
2024-06-16,Societal Impacts and Ethics,435
2024-06-16,Infrastructure and Tools,211
2024-06-16,Evaluation and Benchmarks,408
2024-06-23,Core Models and Architectures,492
2024-06-23,Learning Paradigms,320
2024-06-23,Optimization Techniques,441
2024-06-23,Applications and Use Cases,85
2024-06-23,Societal Impacts and Ethics,343
2024-06-23,Infrastructure and Tools,222
2024-06-23,Evaluation and Benchmarks,146
2024-06-30,Core Models and Architectures,296
2024-06-30,Learning Paradigms,457
2024-06-30,Optimization Techniques,171
2024-06-30,Applications and Use Cases,115
2024-06-30,Societal Impacts and Ethics,436
2024-06-30,Infrastructure and Tools,323
2024-06-30,Evaluation and Benchmarks,257
2024-07-07,Core Models and Architectures,62
2024-07-07,Learning Paradigms,489
2024-07-07,Optimization Techniques,211
2024-07-07,Applications and Use Cases,452
2024-07-07,Societal Impacts and Ethics,408
2024-07-07,Infrastructure and Tools,245
2024-07-07,Evaluation and Benchmarks,357
2024-07-14,Core Models and Architectures,418
2024-07-14,Learning Paradigms,454
2024-07-14,Optimization Techniques,248
2024-07-14,Applications and Use Cases,436
2024-07-14,Societal Impacts and Ethics,179
2024-07-14,Infrastructure and Tools,353
2024-07-14,Evaluation and Benchmarks,62
2024-07-21,Core Models and Architectures,133
2024-07-21,Learning Paradigms,238
2024-07-21,Optimization Techniques,306
2024-07-21,Applications and Use Cases,359
2024-07-21,Societal Impacts and Ethics,101
2024-07-21,Infrastructure and Tools,257
2024-07-21,Evaluation and Benchmarks,332
2024-07-28,Core Models and Architectures,414
2024-07-28,Learning Paradigms,243
2024-07-28,Optimization Techniques,249
2024-07-28,Applications and Use Cases,472
2024-07-28,Societal Impacts and Ethics,412
2024-07-28,Infrastructure and Tools,196
2024-07-28,Evaluation and Benchmarks,192
2024-08-04,Core Models and Architectures,54
2024-08-04,Learning Paradigms,127
2024-08-04,Optimization Techniques,343
2024-08-04,Applications and Use Cases,210
2024-08-04,Societal Impacts and Ethics,452
2024-08-04,Infrastructure and Tools,203
2024-08-04,Evaluation and Benchmarks,279
2024-08-11,Core Models and Architectures,94
2024-08-11,Learning Paradigms,151
2024-08-11,Optimization Techniques,329
2024-08-11,Applications and Use Cases,59
2024-08-11,Societal Impacts and Ethics,82
2024-08-11,Infrastructure and Tools,182
2024-08-11,Evaluation and Benchmarks,435
2024-08-18,Core Models and Architectures,480
2024-08-18,Learning Paradigms,152
2024-08-18,Optimization Techniques,160
2024-08-18,Applications and Use Cases,327
2024-08-18,Societal Impacts and Ethics,366
2024-08-18,Infrastructure and Tools,271
2024-08-18,Evaluation and Benchmarks,466
2024-08-25,Core Models and Architectures,487
2024-08-25,Learning Paradigms,82
2024-08-25,Optimization Techniques,499
2024-08-25,Applications and Use Cases,78
2024-08-25,Societal Impacts and Ethics,54
2024-08-25,Infrastructure and Tools,383
2024-08-25,Evaluation and Benchmarks,498
2024-09-01,Core Models and Architectures,341
2024-09-01,Learning Paradigms,217
2024-09-01,Optimization Techniques,341
2024-09-01,Applications and Use Cases,164
2024-09-01,Societal Impacts and Ethics,156
2024-09-01,Infrastructure and Tools,274
2024-09-01,Evaluation and Benchmarks,145
2024-09-08,Core Models and Architectures,372
2024-09-08,Learning Paradigms,290
2024-09-08,Optimization Techniques,160
2024-09-08,Applications and Use Cases,399
2024-09-08,Societal Impacts and Ethics,245
2024-09-08,Infrastructure and Tools,168
2024-09-08,Evaluation and Benchmarks,162
2024-09-15,Core Models and Architectures,240
2024-09-15,Learning Paradigms,492
2024-09-15,Optimization Techniques,432
2024-09-15,Applications and Use Cases,422
2024-09-15,Societal Impacts and Ethics,430
2024-09-15,Infrastructure and Tools,239
2024-09-15,Evaluation and Benchmarks,491
2024-09-22,Core Models and Architectures,307
2024-09-22,Learning Paradigms,167
2024-09-22,Optimization Techniques,217
2024-09-22,Applications and Use Cases,453
2024-09-22,Societal Impacts and Ethics,130
2024-09-22,Infrastructure and Tools,134
2024-09-22,Evaluation and Benchmarks,379
2024-09-29,Core Models and Architectures,410
2024-09-29,Learning Paradigms,384
2024-09-29,Optimization Techniques,113
2024-09-29,Applications and Use Cases,149
2024-09-29,Societal Impacts and Ethics,358
2024-09-29,Infrastructure and Tools,324
2024-09-29,Evaluation and Benchmarks,103
2024-10-06,Core Models and Architectures,488
2024-10-06,Learning Paradigms,146
2024-10-06,Optimization Techniques,275
2024-10-06,Applications and Use Cases,176
2024-10-06,Societal Impacts and Ethics,263
2024-10-06,Infrastructure and Tools,420
2024-10-06,Evaluation and Benchmarks,177
2024-10-13,Core Models and Architectures,133
2024-10-13,Learning Paradigms,120
2024-10-13,Optimization Techniques,271
2024-10-13,Applications and Use Cases,450
2024-10-13,Societal Impacts and Ethics,219
2024-10-13,Infrastructure and Tools,58
2024-10-13,Evaluation and Benchmarks,340
2024-10-20,Core Models and Architectures,320
2024-10-20,Learning Paradigms,422
2024-10-20,Optimization Techniques,314
2024-10-20,Applications and Use Cases,80
2024-10-20,Societal Impacts and Ethics,107
2024-10-20,Infrastructure and Tools,157
2024-10-20,Evaluation and Benchmarks,392
2024-10-27,Core Models and Architectures,138
2024-10-27,Learning Paradigms,343
2024-10-27,Optimization Techniques,234
2024-10-27,Applications and Use Cases,73
2024-10-27,Societal Impacts and Ethics,71
2024-10-27,Infrastructure and Tools,90
2024-10-27,Evaluation and Benchmarks,193
2024-11-03,Core Models and Architectures,238
2024-11-03,Learning Paradigms,364
2024-11-03,Optimization Techniques,190
2024-11-03,Applications and Use Cases,107
2024-11-03,Societal Impacts and Ethics,253
2024-11-03,Infrastructure and Tools,291
2024-11-03,Evaluation and Benchmarks,355
2024-11-10,Core Models and Architectures,214
2024-11-10,Learning Paradigms,213
2024-11-10,Optimization Techniques,240
2024-11-10,Applications and Use Cases,184
2024-11-10,Societal Impacts and Ethics,286
2024-11-10,Infrastructure and Tools,265
2024-11-10,Evaluation and Benchmarks,60
2024-11-17,Core Models and Architectures,265
2024-11-17,Learning Paradigms,181
2024-11-17,Optimization Techniques,114
2024-11-17,Applications and Use Cases,434
2024-11-17,Societal Impacts and Ethics,304
2024-11-17,Infrastructure and Tools,325
2024-11-17,Evaluation and Benchmarks,349
2024-11-24,Core Models and Architectures,135
2024-11-24,Learning Paradigms,373
2024-11-24,Optimization Techniques,328
2024-11-24,Applications and Use Cases,167
2024-11-24,Societal Impacts and Ethics,287
2024-11-24,Infrastructure and Tools,283
2024-11-24,Evaluation and Benchmarks,199
2024-12-01,Core Models and Architectures,211
2024-12-01,Learning Paradigms,160
2024-12-01,Optimization Techniques,341
2024-12-01,Applications and Use Cases,184
2024-12-01,Societal Impacts and Ethics,404
2024-12-01,Infrastructure and Tools,134
2024-12-01,Evaluation and Benchmarks,70
